,title,price,img
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
68,The Death of Humanity: and the Case for Life,£58.11,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
70,The Art Forger,£40.76,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
74,Soul Reader,£39.58,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
75,Security,£39.25,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
78,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
81,Princess Between Worlds (Wide-Awake Princess #5),£13.34,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
82,"Pop Gun War, Volume 1: Gift",£18.97,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
84,Patience,£10.16,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
87,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,https://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
88,On a Midnight Clear,£14.07,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
89,Obsidian (Lux #1),£14.86,https://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
90,My Paris Kitchen: Recipes and Stories,£33.37,https://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
91,Masks and Shadows,£56.40,https://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,https://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
96,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,https://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
98,Join,£35.67,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
99,In the Country We Love: My Family Divided,£22.00,https://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
